City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Ahipara,NZ,-35.1667,173.1667,56.48,86,37,12.46,scattered clouds
272,Oranjemund,NA,-28.55,16.4333,57.38,73,0,18.5,clear sky
273,Camacha,PT,33.0833,-16.3333,72.82,60,75,12.66,broken clouds
274,Nemuro,JP,43.3236,145.575,62.94,96,100,5.35,overcast clouds
275,Marsa Matruh,EG,31.3525,27.2453,82.13,57,0,11.74,clear sky
276,Marquette,US,46.5333,-87.6335,68.34,84,29,1.83,scattered clouds
277,Poykovskiy,RU,61.2333,73.3333,52.09,81,40,13.42,scattered clouds
278,Chiang Rai,TH,19.9167,99.9167,76.98,100,75,8.05,broken clouds
279,Moa,CU,20.6569,-74.9403,86.18,61,63,10.94,broken clouds
280,Timra,SE,62.487,17.3257,65.88,77,40,16.11,scattered clouds
281,Kiama,AU,-34.6833,150.8667,53.26,91,35,1.99,light rain
282,Omboue,GA,-1.5746,9.2618,78.3,67,100,9.98,overcast clouds
283,Ostrovnoy,RU,68.0531,39.5131,66.27,61,94,16.49,overcast clouds
284,Gizo,SB,-8.103,156.8419,81.1,75,26,6.24,light rain
285,Shelburne,CA,44.0787,-80.2041,68.13,94,86,9.69,overcast clouds
286,Deputatskiy,RU,69.3,139.9,45.91,64,100,3.2,overcast clouds
287,Tiksi,RU,71.6872,128.8694,44.76,82,51,4.34,broken clouds
288,Nova Vicosa,BR,-17.8919,-39.3719,73.74,77,97,10.2,overcast clouds
289,Ambulu,ID,-8.345,113.6058,76.17,84,94,5.66,overcast clouds
290,Labuhan,ID,-6.8844,112.2051,79.2,79,22,7.27,few clouds
291,Belmonte,BR,-15.8631,-38.8828,74.01,81,100,9.42,overcast clouds
292,Hofn,IS,64.2539,-15.2082,53.62,58,20,23.02,few clouds
293,Jamsa,FI,61.8642,25.19,70.52,54,13,4.88,few clouds
294,Ulladulla,AU,-35.35,150.4667,53.13,88,80,6.15,broken clouds
295,Matay,EG,28.419,30.7792,95.97,16,0,15.37,clear sky
296,Lucena,PH,13.9314,121.6172,80.1,84,100,4.85,overcast clouds
297,Merauke,ID,-8.4667,140.3333,76.21,88,91,13.13,overcast clouds
298,Sampit,ID,-2.5333,112.95,74.14,99,100,2.37,moderate rain
299,Caucaia,BR,-3.7361,-38.6531,85.95,66,0,16.11,clear sky
300,Susanville,US,40.4163,-120.653,63.91,38,0,0.0,clear sky
301,Vila Velha,BR,-20.3297,-40.2925,82.35,65,20,13.8,few clouds
302,Sukhobezvodnoye,RU,57.0491,44.8891,77.63,44,45,2.04,scattered clouds
